# set_id=rika_summer_set_v1									
# title=理科									
# version=1									
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d	
q_035	実験において、バネの「伸び」はどのように算出しますか。	伸びの定義	「おもりをつるしたときの長さ」から「何もつるしていないときの長さ（元の長さ）」を引いて求めます。	2	つるした時の長さ＋元の長さ	おもりの重さ÷元の長さ	つるした時の長さ－元の長さ	つるした時の長さそのもの	
q_036	力を矢印で表すとき、矢印の向きは何を表していますか。	力の三要素	矢印の「向き」は、そのまま力がはたらいている方向を表します。	1	力の大きさ	力の向き	力の作用点	力の種類	
q_037	バレーボールをアタックして、ボールの形がへこむ現象は、力のはたらきのうちどれですか。	力のはたらき（変形）	力が加わることで物体の形が変わるため、「物体を変形させる」はたらきです。	0	物体を変形させる	物体の動きを変える	物体を支える	物体の質量を変える	
q_038	バッターが飛んできたボールを打ち返す現象は、力のはたらきのうちどれに該当しますか。	力のはたらき（運動）	ボールの速さや向きが変わるため、「物体の動き（速さや向き）を変える」はたらきです。	1	物体を変形させる	物体の動きを変える	物体を支える	物体の体積を変える	
q_039	「静止している重量あげのバーベル」の状態は、力のはたらきのうちどれに該当しますか。	力のはたらき（支える）	重力に逆らってバーベルを静止させているため、「物体を支える」はたらきです。	2	物体を変形させる	物体の動きを変える	物体を支える	物体の密度を変える	
q_040	ニュートン（N）という単位の由来となった科学者はどこの国の人ですか。	科学史	アイザック・ニュートンは、イギリスの科学者です。	1	ドイツ	イギリス	アメリカ	フランス	
q_041	「バネA」は0.1Nで5mm、「バネB」は0.1Nで38mm伸びます。どちらのバネの方が「強い」といえますか。	バネの比較	同じ力で伸びが小さい「バネA」の方が、弾性力が強く、強いバネであるといえます。	0	バネA	バネB	どちらも同じ	判定不能	
q_042	バネの伸びと力の関係のグラフが原点（0,0）を通る直線であることは、何を意味していますか。	比例の意味	力が0のときに伸びも0であり、力が2倍、3倍になると伸びも2倍、3倍になる「比例」を意味します。	0	比例している	反比例している	誤差がない	バネが壊れている	
q_043	フックの法則を数式 y=ax で表すとき、xが「力の大きさ」なら、yは何を表しますか。	数式の理解	この式において、$y$ はバネの「伸び」を表します。	3	バネの重さ	バネの元の長さ	バネの全体の長さ	バネの伸び	
q_044	実験で目盛りを読み取るとき、誤差を少なくするための視線の方向はどれですか。	測定のスキル	目盛りに対して「正面（垂直）」から読み取るのが正しい方法です。	2	斜め上から	斜め下から	正面（垂直）から	遠くから	
q_045	定規を設置する際、バネに何も吊るしていない状態の指標の位置に定規の0cmを合わせることを何といいますか。	0点合わせ	測定の基準となる開始位置を合わせることを「0点合わせ」といいます。	1	中心合わせ	0点合わせ	目盛り合わせ	垂直合わせ	
q_046	バネにおもりを吊るしすぎると元の形に戻らなくなります。この現象を何といいますか。	弾性の限界	弾性の範囲を超えて変形させると塑性が現れ、元の形に戻らなくなります。	1	弾性強化	弾性の限界（塑性への移行）	磁化	重力増加	
q_047	自転車のブレーキをかけたときに、車輪の回転を止めるためにはたらく力は何ですか。	摩擦力の例	ブレーキパッドと車輪がこすれ合うことで発生する「摩擦力」を利用しています。	2	重力	弾性力	摩擦力	電気力	
q_048	100gのおもりで1cm伸びるバネを「直列」に3つ繋ぎ、100gのおもりを1つつるしました。全体の伸びは何cmですか。	バネの連結（直列3本）	それぞれのバネに100gの力がかかるため、1cm×3本＝3cmの伸びとなります。	2	1cm	2cm	3cm	6cm	
q_049	フックの法則 y = 2x において、x（力の大きさ）が 5N のとき、y（バネの伸び）は何cmになりますか。	数式の計算	式に代入すると、$y = 2 \times 5 = 10$ となり、10cmになります。	2	5cm	7cm	10cm	15cm	
q_050	実験データを表にまとめる際、1行目には一般的に何を書きますか。	表の書き方	一般的に、1行目には「変化させたもの（原因）」を書きます。	0	変化させたもの	変化した結果のもの	感想	日付	
q_051	グラフを作成する際、横軸と縦軸のどちらに「実験の結果（バネの伸びなど）」をとるのが一般的ですか。	グラフの軸のきめ方	グラフでは、原因となる「変化させた量（力の大きさなど）」を横軸に、その結果現れた「変化した量（伸びなど）」を縦軸にとるのが一般的です。	1	横軸	縦軸	どちらでもよい	斜め軸	
q_052	バネの実験で測定した点（・）をグラフに記入した後、線を引くときの正しい作法はどれですか。	直線の引き方	各点の近くを通り、点が直線の上下に同じくらい散らばるような「平均的な直線」を引きます。誤差があるため、すべての点を折れ線で結んではいけません。	1	すべての点を折れ線で結ぶ	点の上下にバランスよく直線を引く	最も高い点と低い点だけを結ぶ	原点を通らない線を引く	
q_053	測定において、器具の調整や目盛りの読み取りによって、測定値が真の値からわずかにずれてしまうことを何といいますか。	誤差	実験には避けられないわずかなずれがつきもので、これを「誤差」と呼びます。	2	過失	失敗	誤差	残差	
q_054	目盛りで値を読み取るとき、誤差を小さくするために推奨される方法はどれですか。	誤差の軽減	目盛りを読み取るときは、正面から見ることや、くり返し測定して平均をとることが重要です。	3	1回だけ素早く測る	目盛りを斜めから見る	適当な数字を選ぶ	くり返し測定して平均をとる	
q_055	「100gの物体を吊るすと5mm伸びる」バネAがあります。このバネに0.2Nの力を加えたときの伸びは何mmになりますか。なお100g＝1Nとします。	比例の計算	100g（1N）で5mm伸びるなら、0.2N（1Nの5分の1）の力では伸びも5分の1の1mmになります。	0	1mm	2mm	5mm	10mm	
q_056	「100gの物体を吊るすと38mm伸びる」バネBがあります。このバネに0.3Nの力を加えたときの伸びは何mmになりますか。なお100g＝1Nとし、バネBは1個あたり0.1Nのおもりに対応しています。	比例の計算	バネBは0.1Nで38mm伸びる性質を持っています。その3倍の0.3Nでは、伸びも3倍の114mm（38×3）になります。	2	38mm	76mm	114mm	152mm	
q_057	「0.5Nの力で27mm伸びるバネ赤」と「0.5Nの力で85mm伸びるバネ青」を比較したとき、正しい記述はどれですか。	バネの強さの比較	同じ力を加えても伸びが小さい（27mm）「バネ赤」の方が、伸びが大きい（85mm）「バネ青」よりも「強い（硬い）」といえます。	0	バネ赤の方が強い	バネ青の方が強い	強さは同じである	色だけでは判定できない	
q_058	ある非常に強いバネに0.1Nの力を加えても伸びが確認できませんでしたが、0.2Nで2mm伸びました。このバネに0.5Nの力を加えると伸びは何mmになると予想されますか。	比例の計算	このバネは0.1N増えるごとに、1mmずつ伸びが増える傾向（(10-2)/(0.3-0.2)のような計算）があります。資料のデータに基づくと、0.5Nでは27mmとなります。	3	10mm	15mm	20mm	27mm	
q_059	バネに加えるおもりの数を1個、2個、3個と増やしていくと、バネの伸びも2倍、3倍になっていく現象から導き出される関係は何ですか。	比例関係	力の大きさが2倍、3倍になるとバネの伸びも2倍、3倍になる関係を「比例」といいます。	0	比例	反比例	二次関数	無関係	
q_060	バネ秤（ばねばかり）の目盛りが等間隔になっている理由として、正しいものはどれですか。	計測器の仕組み	バネの伸びと力の大きさが比例関係（フックの法則）にあるため、目盛りを等間隔にすることができます。	1	デザインを美しくするため	伸びと力が比例しているため	磁石を利用しているため	重力が場所で変わらないため	
q_061	「100gの物体を吊るすと1cm伸びるバネ」を直列に3つ繋ぎ、100gのおもりを1個吊るしました。バネ全体の伸びは何cmになりますか。	バネの連結（直列）	直列の場合、すべてのバネに同じ100gの力がはたらきます。1本1cm伸びるバネが3本あるので、1+1+1=3cmとなります。	2	1cm	2cm	3cm	6cm	
q_062	「100gの物体を吊るすと3cm伸びるバネ」を並列に2本並べて100gのおもりを支えるとき、バネ全体の伸びは何cmになりますか。	バネの連結（並列）	並列にすると100gの重さを2本で分担するため、1本当たり50g分の力がかかります。100gで3cmなら50gで1.5cm伸びることになります。	1	3cm	1.5cm	0.5cm	6cm	
q_063	バネの実験において、おもりを吊るしたときの指標の位置と、ものさしの0cmの位置を合わせる作業を何といいますか。	0点合わせ	測定を開始する基準を揃えることを「0点合わせ」といいます。これにより、バネの「伸び」を直接読み取ることができます。	1	高さ調整	0点合わせ	水平取り	目盛り打ち	
q_064	質量4.5kgの物体にかかる重力の大きさは何Nですか。なお100g＝1Nとします。	単位換算の計算	4.5kg＝4500gです。100gが1Nなので、4500÷100＝45Nとなります。	2	4.5N	0.45N	45N	450N	
q_065	質量120gの物体が月面上にあるとき、その物体の「質量」は何gですか。	質量の不変性	質量は物体そのものの量であり、場所が変わっても変化しません。したがって月面上でも120gのままです。	1	20g	120g	0g	720g	
q_066	質量120gの物体を月面上に持っていったとき、その物体の「重さ」は約何Nになりますか。なお地球上で100g＝1Nとし、月面の重力は地球の6分の1とします。	重さの計算（月面）	地球上では1.2Nの重さですが、月面ではその6分の1になるため、1.2÷6＝0.2Nとなります。	0	0.2N	1.2N	6N	0N	
q_067	無重力の宇宙空間において、地球上で質量600gだった物体の「重さ」は何Nになりますか。	無重力の影響	重力がない空間では、物体を引っ張る力（重力）がはたらかないため、重さは0Nになります。	3	600N	6N	1N	0N	
q_068	変形した物体が元に戻ろうとする「弾性力」の性質について、正しい説明はどれですか。	弾性力の特徴	物体が大きく変形するほど（バネを大きく伸ばすほど）、元に戻ろうとする弾性力は大きくなります。	0	変形が大きくなるほど力は大きくなる	変形が大きくなるほど力は小さくなる	変形に関わらず力は一定である	力は物体の質量だけで決まる	
q_069	「塑性（そせい）」の性質を持つ代表的な物体としてソースに挙げられているものはどれですか。	塑性の具体例	力を加えて形を変えた後に元に戻らない性質を塑性といい、粘土はその代表例です。	1	ゴム	粘土	鋼鉄のバネ	空気	
q_070	プラスチック製品がさまざまな形で作られるのは、プラスチックにどのような性質があるからですか。	塑性の応用	プラスチックは熱や力を加えることで形を変え、元に戻らない「塑性（可塑性）」の性質を持つため、加工に適しています。	2	弾性	磁性	塑性	脆性	
q_071	「物体の動きを変える」という力のはたらきの例として、適切なものはどれですか。	力のはたらき（運動）	飛んできたボールを打ち返す行為は、ボールの速さや進む向きを変えるため、動きを変えるはたらきに当たります。	0	バッターがボールを打ち返す	弓の弦を引いて止める	机の上に本を置く	スポンジを握りつぶす	
q_072	「物体を支える」という力のはたらきの例として、適切なものはどれですか。	力のはたらき（支える）	重量あげのバーベルを頭上で静止させている状態は、重力に抗って物体を支えているはたらきに当たります。	2	サッカーボールを蹴る	ゴムを伸ばす	バーベルを静止させて持つ	磁石で釘を引きつける	
q_073	物体が他の物体と接触しているときに、その面を垂直に押し返す力を何といいますか。	垂直抗力	面が物体を押し返す力を「垂直抗力（抗力）」と呼びます。	1	摩擦力	垂直抗力	弾性力	重力	
q_074	磁石の同じ極（N極とN極など）どうしを近づけたときにはたらく力の様子を何といいますか。	磁力の性質	磁石の同じ極どうしは、互いに遠ざけようとする「しりぞけ合う力」がはたらきます。	1	引き合う	しりぞけ合う	消滅する	重なり合う	
q_075	重力、磁力、電気力という3つの力に共通する、他の力（摩擦力や弾性力など）とは異なる特徴は何ですか。	力の作用の仕方	これらの力は、物体どうしが直接触れていなくても、離れた状態ではたらくという共通点があります。	2	接触しないとはたらかない	必ず上向きにはたらく	離れていてもはたらく	質量に反比例する	
q_076	力を表す矢印を描くとき、その「向き」は何を表現していますか。	力の三要素（向き）	矢印の先端が向いている方向が、そのまま「力がはたらく向き」を表します。	1	力の大きさ	力の向き	力の作用点	物体の重心	
q_077	力を表す矢印で、力の大きさを変えたい場合、作図上どのように変更しますか。	力の三要素（大きさ）	矢印の「長さ」が力の大きさを表すため、力を大きくしたいときは矢印を長く描きます。	0	矢印の長さを変える	矢印の向きを反転させる	矢印の太さを変える	矢印の始点をずらす	
q_078	重力を表す矢印の向きは、どのように描くのが正しいですか。	重力の作図（向き）	重力は常に地球の中心に向かってはたらくため、「真下（鉛直下向き）」に描きます。	3	水平右向き	斜め下向き	真上向き	真下（鉛直下向き）	
q_079	実験でバネに吊るすおもりの数を0個から1個、2個と変えていくとき、この「おもりの数」は実験においてどのような量と呼ばれますか。	実験の変数	実験で意図的に変える条件のことを「変化させた量」といいます。	0	変化させた量	変化した量（結果）	固定した量	測定誤差	
q_080	実験でバネにおもりを増やした結果、バネが伸びました。この「バネの伸び」は実験においてどのような量と呼ばれますか。	実験の変数	実験で条件を変えた結果として現れる数値のことを「変化した量」といいます。	1	変化させた量	変化した量（結果）	基準となる量	無関係な量	
q_081	フックの法則が成り立つとき、力の大きさとバネの伸びの関係をグラフに表すと、どのような線になりますか。	比例グラフの形状	比例関係にあるため、グラフは「原点を通る直線」になります。	2	曲線	階段状の線	原点を通る直線	右下がりの直線	
q_082	あるバネに加える力を2倍にしたとき、バネの伸びはどうなると予想されますか。	フックの法則の適用	フックの法則（比例）に基づき、力の大きさが2倍になれば、伸びも「2倍」になります。	1	変わらない	2倍になる	半分になる	4倍になる	
q_083	バネの「元の長さ」が15cmで、おもりを吊るしたときの「全体の長さ」が18cmでした。バネの「伸び」は何cmですか。	伸びの計算	伸び ＝ 全体の長さ － 元の長さ なので、18 － 15 ＝ 3cmとなります。	2	18cm	15cm	3cm	33cm	
q_084	質量20gのおもりを吊るすと1cm伸びるバネがあります。このバネに重さ1.6Nの力を加えたとき、伸びは何cmになりますか。なお100g＝1Nとします。	計算問題	1.6Nは160gに相当します。20gで1cmなら、160gでは 160÷20＝8cm伸びます。	3	1.6cm	4cm	6cm	8cm	
q_085	「5Nの力を加えると3cm伸びるバネ」があります。このバネに質量2kgのおもりを吊るしました。伸びは何cmになりますか。なお100g＝1Nとします。	計算問題	2kg＝20Nです。5Nで3cmなら、20N（5Nの4倍）では 3×4＝12cm伸びます。	1	6cm	12cm	15cm	20cm	
q_086	台ばかりの上に荷物を置いたとき、目盛りの針が動く直接の原因は何ですか。	台ばかりの原理	荷物が台を押し下げる「力の大きさ（重さ）」によって、内部のバネが変形するからです。	0	荷物が台を押す力	地球の自転	周囲の空気の重さ	荷物の体積の増加	
q_087	実験でバネの伸びを測定する際、正確に測るために定規をどのように設置すべきですか。	実験手順の工夫	バネと定規の距離を離さず、バネに揃えて（平行に）垂直に立てて設置します。	2	バネから大きく離す	斜めに立てかける	バネに揃えて垂直に立てる	手で持ったまま測る	
q_088	バネ秤（ばねばかり）を横に引いて物体を動かすとき、バネ秤が示しているのは何の大きさですか。	力の測定	物体を引いている「手の力（弾性力）」の大きさを測定しています。	1	物体の質量	加えている力の大きさ	地球の重力の向き	摩擦力の係数	
q_089	スポーツで弓を引いているとき、矢を飛ばそうとする力はバネの実験における何という力と同じ種類ですか。	力の種類の応用	変形した弓が元に戻ろうとする「弾性力」を利用しています。	1	重力	弾性力	垂直抗力	磁力	
q_090	17世紀に「バネの伸びと力の比例関係」を発見し、その法則に名が残っている科学者は誰ですか。	科学史	イギリスの科学者「ロバート・フック」です。	2	ニュートン	アインシュタイン	フック	パスカル	
q_091	物体が接している面から、その動きを邪魔するようにはたらく「摩擦力」の説明として正しいものはどれですか。	摩擦力の特徴	摩擦力は、物体が動こうとする向きとは「反対の向き」にはたらき、動きを妨げます。	3	重力と同じ向きにはたらく	動きを助ける向きにはたらく	垂直上向きにはたらく	動きを妨げる向きにはたらく	
q_092	「100gで1cm伸びるバネ」を2つ直列に繋ぎ、200gのおもりを吊るしました。全体の伸びは何cmですか。	バネの連結（直列応用）	直列では2つのバネそれぞれに200gの力がかかります。1本当たり200gで2cm伸びるので、合計 2+2=4cmとなります。	3	1cm	2cm	3cm	4cm	
q_093	「100gで1cm伸びるバネ」を2つ並列に繋ぎ、200gのおもりを吊るしました。全体の伸びは何cmですか。	バネの連結（並列応用）	2本で200gを支えるので、1本当たり100gの力がかかります。よって、全体の伸びは1本分の伸びである「1cm」になります。	0	1cm	2cm	0.5cm	4cm	
q_094	地球上では100gの物体に約1Nの重力がはたらきます。では、2kgの物体にはたらく重力は何Nですか。	計算問題	2kg＝2000gです。100gで1Nなら、2000gでは20Nとなります。	1	2N	20N	200N	0.2N	
q_095	バネにおもりを吊るして静止しているとき、バネが「おもりを上に引き上げる力」とつり合っている力は何ですか。	力のつり合い	おもりにはたらく「重力（下に引く力）」と、バネが引く力がつり合って静止しています。	2	垂直抗力	摩擦力	重力	電気力	
q_096	バネにおもりを増やしていったところ、ある点から急激に伸びが不規則になり、おもりを外しても元に戻らなくなりました。これは何が起きたと考えられますか。	弾性の限界	バネが元に戻れる限界（弾性の限界）を超えて変形させてしまったため、塑性が現れたと考えられます。	1	重力が強くなった	弾性の限界を超えた	バネが磁石になった	誤差が消えた	
q_097	実験報告書の「ねらい」という項目には、通常どのような内容を書きますか。	実験の構成	その実験を通して何を知りたいか、何を明らかにしたいかという「目的」を書きます。	1	使った道具のリスト	実験の目的（法則を見つけるなど）	実験中の失敗談	当日の天気	
q_098	バネの実験の感想として、「見た目は同じようなバネなのに、伸び方の規則が違っていて不思議だ」と感じた生徒がいました。この伸び方の違いを決めている要因は何ですか。	バネの特性	バネの材質や太さ、巻き方などによって決まる「バネの強さ（弾性力の強さ）」の違いです。	0	バネの強さの違い	おもりの色の違い	スタンドの高さの違い	部屋の明るさの違い	
q_099	バネを引いたときに手がバネから引っ張り返されるように感じるのは、バネの何という力がはたらいているからですか。	弾性力の作用	変形したバネが元の形に戻ろうとして生じる「弾性力」を、手が受けているからです。	1	重力	弾性力	摩擦力	電気力	
q_100	力の三要素を矢印で描くとき、作用点（力の出発点）を物体と面の接点に描くべき力はどれですか。	作図の基本	面から物体にはたらく「垂直抗力」や「摩擦力」は、面との接点を作用点として描きます。	3	重力	磁力	電気力	垂直抗力	
q_101	「100gのおもりをつるすと1cm伸びるバネ」を縦に2つ直列に繋ぎ、一番下に100gのおもりを1つつるしました。バネ全体の伸びは何cmになりますか。	バネの連結（直列）	直列に繋いだ場合、それぞれのバネに同じ100gの力がはたらくため、1cmずつ伸び、合計で2cmの伸びになります。	1	1cm	2cm	0.5cm	4cm	
q_102	「100gのおもりをつるすと1cm伸びるバネ」を縦に3つ直列に繋ぎ、一番下に100gのおもりを1つつるしました。バネ全体の伸びは何cmになりますか。	バネの連結（直列）	直列の場合、3つのバネすべてに100gの重さがかかるため、1cm×3本で合計3cm伸びることになります。	2	1cm	2cm	3cm	6cm	
q_103	「100gのおもりをつるすと1cm伸びるバネ」を2本並列（横並び）にして、100gのおもり1個を2本で支えるように吊るしました。全体の伸びは何cmになりますか。	バネの連結（並列）	並列の場合、100gの重さを2本のバネで分担するため、1本当たりの負担は50g分となり、伸びは半分の0.5cmになります。	3	1cm	2cm	2.5cm	0.5cm	
q_104	「100gのおもりをつるすと3cm伸びるバネ」を2本並列にして、100gのおもり1個を吊るしました。全体の伸びは何cmになりますか。	バネの連結（並列）	100gの重さが2本に分散され、1本当たり50gの力がかかります。100gで3cmなら、50gではその半分の1.5cm伸びます。	1	3cm	1.5cm	0.5cm	6cm	
q_105	物体が面と接して動くときに、その動きを妨げる向きにはたらく力を何といいますか。	摩擦力	物体が動こうとするのを邪魔する方向にはたらく力を「摩擦力」といいます。自転車のブレーキなどはこの力を利用しています。	3	重力	弾性力	垂直抗力	摩擦力	
q_106	磁石の異なる極（N極とS極）を近づけたとき、互いにどのようにはたらき合いますか。	磁力の性質	磁石の異なる極どうしは、互いに引きつけ合う力がはたらきます。	0	引き合う	しりぞけ合う	何も起こらない	反発する	
q_107	磁石の同じ極（N極とN極、またはS極とS極）を近づけたとき、互いにどのようにはたらき合いますか。	磁力の性質	磁石の同じ極どうしは、互いに遠ざけようとする「しりぞけ合う力」がはたらきます。	1	引き合う	しりぞけ合う	消滅する	重なり合う	
q_108	静電気などによって物体どうしが引き合ったりしりぞけ合ったりする力を何といいますか。	電気力	プラスチックの下じきでこすった髪の毛が持ち上がるような現象は、「電気力」によるものです。	1	磁力	電気力	重力	摩擦力	
q_109	回転運動において、中心から外側へ逃げようとする向きにはたらく力を何といいますか。	遠心力	振り回したバケツの水がこぼれないのは、外側に向かって「遠心力」がはたらいているためです。	3	摩擦力	弾性力	重力	遠心力	
q_110	物体が接している面から、その面に対して垂直に押し返す力を何といいますか。	垂直抗力	面が物体を支えようとして垂直に押し返す力を「垂直抗力（抗力）」といいます。	1	摩擦力	垂直抗力	磁力	電気力	
